"Event Name","Start Date","End Date",Country,State,City,Venue,"Region 1","Region 2","Region 3",Contacts,URL,URL2,URL3,Sponsorship,Stakeholders,Type
"Gartner IT Infrastructure, Operations and Management Summit US 2012",2012-06-05,2012-06-07,USA,Florida,Orlando,"Peabody Orlando",,,,,http://www.gartner.com/technology/summits/na/it-operations/,,,,,
"LinuxCon Japan",2012-06-06,2012-06-08,Japan,,Yokohama,"Pacifico Yokohama",APAC,,,,https://events.linuxfoundation.org/events/linuxcon-japan,,,,,"Industry Event"
"Southeast LinuxFest",2012-06-08,2012-06-10,USA,"North Carolina",Charlotte,,"NORTH AMERICA",,,,,,,,Storage,"Industry Event"
"Cisco Live! - US 2012",2012-06-10,2012-06-14,USA,California,"San Diego","San Diego Conference Center",,,,,http://www.ciscolive.com/us/,,,,"Field Marketing","Industry Event"
"Dell Storage Forum",2012-06-11,2012-06-13,USA,Massachusetts,Boston,"Westin Waterfront",,,,,,,,,"Field Marketing","Industry Event"
"Microsoft TechEd 2012",2012-06-11,2012-06-14,USA,Florida,Orlando,"Orange County Convention Center","NORTH AMERICA",,,,http://northamerica.msteched.com/,,,,"Platform,Virtualization","Industry Event"
"Cloud Expo East 2012",2012-06-11,2012-06-14,USA,"New York","New York City","Javits Center",,,,,https://www3.sys-con.com/cloud2012east/registernew.cfm,,,,"Virtualization,Cloud,Openshift,Storage","Industry Event"
"Cloud Leadership Forum",2012-06-12,2012-06-14,USA,California,"Santa Clara","Hyatt Regency Santa Clara",,,,,,,,,Cloud,"Industry Event"
"Deploycon 2012",2012-06-13,2012-06-13,USA,"New York","New York","Jacob K. Javits Convention Center",,,,,http://www.deploycon.com/,,,,,
"TechTarget- Storage Decisions",2012-06-19,2012-06-20,USA,Illinois,Chicago,"Hyatt Regency McCormick Place","NORTH AMERICA",,,,http://storagedecisions.techtarget.com/chicago/index.html,,,,Storage,"Industry Event"
"Forrester's Enterprise Architecture Forum",2012-06-19,2012-06-20,France,,Paris,"Marriott Rive Gauche Hotel & Conference Center",,,,,,,,,Middleware,"Industry Event"
"GigaOM Structure 2012",2012-06-20,2012-06-21,USA,California,"San Francisco","Mission Bay Conference Center",,,,,http://event.gigaom.com/structure/,,,,Cloud,"Industry Event"
"Gartner AADI",2012-06-21,2012-06-22,England,,London,"Park Plaza Westminster Bridge",,,,,,,,,Middleware,"Analyst Event"
"Red Hat Summit & JBoss World",2012-06-26,2012-06-29,USA,Massachusetts,Boston,"Hynes Convention Center","NORTH AMERICA",,,,"http://www.redhat.com/summit/ ",,,,,"Red Hat Hosted"
"Google I/O 2012",2012-06-27,2012-06-29,USA,California,"San Francisco","Mascone Center",,,,,https://developers.google.com/events/io/,,,,,"Industry Event"
"Microsoft Worldwide Partner Conference",2012-07-08,2012-07-12,Canada,,Toronto,"Metro Toronto Convention Centre",,,,,,,,,"Field Marketing","Industry Event"
"JAXConf 2012",2012-07-09,2012-07-12,USA,California,"San Francisco","Mission Bay Convention Center",,,,,http://jaxconf.com/,,,,Middleware,"Developer Event"
"TechNet Land Forces- South",2012-07-10,2012-07-12,USA,Florida,Tampa,"Tampa Convention Center","NORTH AMERICA",,,,http://www.afcea.org/events/tnlf/south12/intro.asp,,,,"Public Sector","Industry Event"
"IBM System x Tech University",2012-07-16,2012-07-20,USA,California,"San Francisco","Hilton San Francisco, Union Square",,,,,,,,,"Field Marketing","Red Hat Partner Event"
"OSCON 2012",2012-07-16,2012-07-20,USA,Oregon,Portland,"Oregon Convention Center","NORTH AMERICA",,,,http://www.oscon.com/oscon2012,,,"Platinum Sponsorship","Openshift,Platform,Storage","Industry Event"
"BriForum US 2012",2012-07-24,2012-07-26,USA,Illinois,Chicago,"McCormick Place Convention Center",,,,,http://briforum.com/US/index.html,,,,Virtualization,"Industry Event"
"AGA Professional Development Conference",2012-07-29,2012-08-01,USA,California,"San Diego","San Diego Conference Center",,,,,,,,,"Public Sector","Industry Event"
"CompTIA Breakaway",2012-07-30,2012-08-02,USA,Nevada,"Las Vegas","ARIA Resort and Casino","NORTH AMERICA",,,,http://www.comptia.org/breakaway/home.aspx,,,,Channel,"Industry Event"
"TechNet Land Forces- East",2012-08-14,2012-08-16,USA,Maryland,Baltimore,"Baltimore Convention Center","NORTH AMERICA",,,,http://www.afcea.org/events/tnlf/east12/intro.asp,,,"General Exhibitor","Public Sector","Industry Event"
"Xchange Americas",2012-08-19,2012-08-22,USA,Texas,Dallas,"Gaylord Texan","NORTH AMERICA",,,,http://www.xchange-events.com/x12/,,,,Channel,"Industry Event"
"NoSQL Now!",2012-08-21,2012-08-23,USA,California,"San Diego",,"NORTH AMERICA",,,,,,,,Openshift,"Developer Event"
AFITC,2012-08-27,2012-08-29,USA,Alabama,Montgomery,"Renaissance Spa and Hotel","NORTH AMERICA",,,,http://afitc.gunter.af.mil/,,,,"Public Sector","Industry Event"
"VMworld xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www.vmworld.com/community/conference/us/,,,,"Virtualization,Cloud,Storage","Industry Event"
CloudOpen,2012-08-29,2012-08-31,USA,California,"San Diego","Sheraton Hotel and Marina",,,,,https://events.linuxfoundation.org/events/cloudopen/,,,,"Cloud,Openshift","Industry Event"
"LinuxCon US 2012",2012-08-29,2012-08-31,USA,California,"San Diego","Sheraton San Diego","NORTH AMERICA",,,,http://events.linuxfoundation.org/events/linuxcon,,,"Gold Sponsorship +1234567789Keynote","Platform,Storage","Industry Event"
"Tech Forum Stockholm",2012-09-06,2012-09-06,Sweden,,Stockholm,"Kista Entré",EMEA,Nordics,,,,,,,"Storage,Platform",
"CED xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www.cednc.org/techventure,,,,,"Industry Event"
"Java Zone",2012-09-12,2012-09-13,Norway,Oslo,Oslo,,EMEA,Nordics,,,"http://jz12.java.no/news ",,,"Red Hat sponsor and exhibitor. ",Middleware,
"GTDC Vendor Summit",2012-09-12,2012-09-13,USA,California,"Newport Beach","Fairmont Hotel",,,,,,,,,,"Industry Event"
"Red Hat Partner Road Tour",2012-09-17,2012-09-18,Sweden,,Stockholm,"Tammsvik conference",EMEA,Nordics,,,http://partnertour.redhat.com/index_swe.html,,,,"Cloud,Middleware,Platform,Storage,Virtualization","Red Hat Partner Event"
"Storage Developer Conference - SNIA 2012",2012-09-17,2012-09-20,USA,California,"Santa Clara","Hyatt Regency",,,,,http://www.snia.org/events/storage-developer2012,,,,Storage,"Developer Event"
"Master Data Management Finland",2012-09-18,2012-09-19,Finland,,Helsinki,"Crowne Plaza Helsinki, Finland ",EMEA,Nordics,,,,,,"Networking partner sponsorship package ",Storage,
"Gartner Portals (PCC) London",2012-09-19,2012-09-20,"United Kingdom",,London,"Park Plaza Westminster Bridge",,,,,,,,,,"Analyst Event"
"Red Hat Government Symposium",2012-09-23,2012-09-23,USA,,"Washington, D.C.",Newseum,,,,,http://fedscoop.com/redhatgovernmentsymposium/2012/,,,,"Public Sector","Red Hat Hosted"
StrangeLoop,2012-09-23,2012-09-25,USA,Missouri,"St. Louis","Peabody Opera House","NORTH AMERICA",,,,https://thestrangeloop.com/,,,,Middleware,"Developer Event"
"TechTarget - Storage Decisions NY 2012",2012-09-24,2012-09-25,USA,"New York","New York City",,"NORTH AMERICA",,,,http://storagedecisions.techtarget.com/newyork/index.html,,,"Silver Sponsor",Storage,"Industry Event"
JasperWorld,2012-09-24,2012-09-26,USA,California,"San Francisco","Parc 55 Wyndham",,,,,http://jasperworld.jaspersoft.com/,,,,Middleware,"Red Hat Partner Event"
"Oracle xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www.oracle.com/openworld/index.html,,,,"Platform,Virtualization,Middleware,Cloud","Industry Event"
"Goto Java Conference",2012-10-01,2012-10-03,Denmark,,Aarhus,,EMEA,Nordics,,,http://gotocon.com/aarhus-2012/,,,"Silver sponsors. ",Middleware,
"Interop New York 2012",2012-10-01,2012-10-04,USA,"New York","New York City","Javits Center","NORTH AMERICA",,,,http://www.interop.com/newyork/,,,"Gold Sponsor",Cloud,"Industry Event"
"IBM System z Tech University",2012-10-01,2012-10-05,USA,Nevada,"Las Vegas",,,,,,,,,,"Field Marketing","Red Hat Partner Event"
Cloud4SMBAustin,2012-10-02,2012-10-05,USA,Texas,Austin,"Austin Convention Center",,,,,http://cloud-computing.tmcnet.com/conference/,,,,Cloud,"Industry Event"
"Synnex National Conference",2012-10-03,2012-10-06,USA,"South Carolina",Greenville,,,,,,,,,,Channel,"Industry Event"
"GeoInt Symposium",2012-10-08,2012-10-11,USA,Florida,Orlando,"Gaylord Palms","NORTH AMERICA",,,,http://geoint2012.com/,,,"General Exhibitor","Public Sector,Storage","Industry Event"
"How to management data - IDG",2012-10-09,2012-10-09,Denmark,,Copenhagen,,EMEA,Nordics,,,,,,,Storage,"Industry Event"
"VMWorld EMEA 2012",2012-10-09,2012-10-11,Spain,,Barcelona,CCIB,EMEA,"Iberia ",,,http://www.vmworld.com/community/conference/europe/,,,,"Cloud,Virtualization","Industry Event"
"BioIT World 2012",2012-10-09,2012-10-11,Austria,,Vienna,"InterContinental Vienna",,,,,http://www.bio-itworldexpoeurope.com/,,,,,
"CIO Forum IDG Norway",2012-10-11,2012-10-11,Norway,,Oslo,"Oslo congress center",EMEA,Nordics,,,,,,,Storage,
GITEX,2012-10-14,2012-10-18,"United Arab Emirates",,Dubai,,,,,,,,,,,
"IFS World Conference",2012-10-15,2012-10-16,Sweden,,Gothenburg,"Swedish Exhibition & Congress Centre, Gothenburg",EMEA,Nordics,,,"www.ifsworld.com/woco2012 ",,,"Silver sponsors ","Middleware,Virtualization,Platform","Developer Event"
"The OpenStack Summit",2012-10-15,2012-10-18,USA,California,"San Diego","San Diego Manchester Grand Hyatt",,,,,http://www.openstack.org/summit/san-diego-2012/,,,,"Cloud,Platform,Virtualization","Industry Event"
"SpringOne 2GX 2012 ",2012-10-15,2012-10-18,USA,,"Washington, DC","Washington Hilton",,,,,http://www.springone2gx.com/conference/washington/2012/10/home,,,,,"Industry Event"
"IBM System x Technical University EMEA",2012-10-15,2012-10-19,Hungary,,Budapest,,EMEA,,,,,,,,,"Red Hat Partner Event"
"SAP xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www.sapteched.com/12/usa/home.htm,,,,"Platform,Virtualization","Red Hat Partner Event"
"GigaOM Structure EMEA",2012-10-16,2012-10-17,Netherlands,,Amsterdam,"Hotel Okura Amsterdam",EMEA,,,,http://event.gigaom.com/structureeurope/,,,,Cloud,"Industry Event"
"Real Time Linux Workshop",2012-10-18,2012-10-20,USA,"North Carolina","Chapel Hill","University of North Carolina Chapel Hill","NORTH AMERICA",,,,https://www.osadl.org/RTLWS-2012.rtlws-2012.0.html,,,"Platinum Sponsorship","Field Marketing","Industry Event"
"Gartner xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www.gartner.com/technology/symposium/orlando/,,,,"Middleware,Virtualization,Platform,Storage,Cloud,Grow Share (Microsoft) NextGen Datacenter, Break Glass","Analyst Event"
"IBM xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www-01.ibm.com/software/data/2012-conference/,,,"Gold Sponsorship","Platform,Virtualization","Red Hat Partner Event"
"ZendCon 2012",2012-10-22,2012-10-25,USA,California,"Santa Clara","Santa Clara Convention Center",,,,,http://www.zendcon.com/,,,"Platinum Sponsorship","Platform,Openshift","Developer Event"
Intellifest,2012-10-22,2012-10-26,USA,California,"San Diego","Bahia Resort Hotel",,,,,http://intellifest.org/wordpress/#,,,"Platinum Sponsor",,"Industry Event"
"RHEV xxx@redhat.com Day: +91955512120 Cell: +91955512120",,,,,"Virtualization,Seeing is Believing,Strategic Alternative (NextGen IT)","Red Hat Hosted"
"EclipseCon Europe 2012",2012-10-23,2012-10-25,Germany,,"Ludwigsburg,","Forum am Schlosspark ",,,,,http://www.eclipsecon.org/europe2012/,,,,,
"Breakfast seminar Bergen Atea",2012-10-25,2012-10-25,Norway,,Bergen,"Bølgen & Moi, Vågsalmenningen 16, Bergen",EMEA,Nordics,,,,,,,"Cloud,Virtualization,Build Open Clouds,Strategic Alternative (NextGen IT)",
"Building Business Capability 2012",2012-10-28,2012-11-02,USA,Florida,"Ft. Lauderdale","The Westin Diplomat Resort & Spa",,,,,http://www.buildingbusinesscapability.com/2012/agenda,,,,Middleware,"Industry Event"
Sibos,2012-10-29,2012-11-01,Japan,,Osaka,"Intex Centre",,,,,,,,,,"Red Hat Partner Event"
"Seminar with Atea",2012-10-30,2012-10-30,Norway,,Stavanger,,EMEA,Nordics,,,,,,,"Virtualization,Cloud","Red Hat Partner Event"
"Red Hat Developer Day - London",2012-11-01,2012-11-01,"United Kingdom",,London,"London South Bank University",,,,,http://www.redhat.com/developerday/,,,,"Cloud,Middleware,Openshift,Platform,Storage","Red Hat Hosted"
"LinuxCon Europe 2012",2012-11-05,2012-11-07,Spain,,Barcelona,"Hotel Fira Palace",EMEA,,,,http://events.linuxfoundation.org/events/linuxcon-europe,,,"Gold Sponsorship",Platform,"Industry Event"
"Gartner Symposium ITxpo Spain 2012",2012-11-05,2012-11-08,Spain,,Barcelona,CCIB,EMEA,,,,http://www.gartner.com/technology/symposium/barcelona/,,,,"Virtualization,Storage,Platform,Middleware,Cloud","Analyst Event"
"Radware Partner Executive Exchange",2012-11-05,2012-11-08,Israel,,"Tel Aviv","David Intercontinental Hotel Tel Aviv",EMEA,"Italy & Greece & Israel",,,,,,,Virtualization,"Red Hat Partner Event"
"Cloud Expo West 2012",2012-11-05,2012-11-08,USA,California,"Santa Clara","Santa Clara Convention Center","NORTH AMERICA",,,,http://www3.sys-con.com/cloud2012west/registernew.cfm,,,"Platinum Sponsorship","Cloud,Virtualization,Openshift,Storage","Industry Event"
"NetApp Insight Americas 2012",2012-11-05,2012-11-08,USA,Nevada,"Las Vegas","MGM Grand","NORTH AMERICA",,,,http://netapp2a.blueboxonline.com/,,,"Gold Sponsor",Virtualization,"Red Hat Partner Event"
GTEC,2012-11-05,2012-11-08,Canada,,Ottawa,"Ottawa Convention Centre","NORTH AMERICA",,,,http://www.gtec.ca/,,,,,"Industry Event"
"Symantec Government Symposium",2012-11-07,2012-11-07,USA,,"Washington, D.C.","Walter E. Washington Convention Center",,,,,,,,,,"Red Hat Partner Event"
"TechTarget- Storage Decisions SF 2012",2012-11-08,2012-11-08,USA,California,"San Francisco",,"North America",,,,http://storagedecisions.techtarget.com/sanfrancisco/index.html,,,,Storage,"Industry Event"
"Supercomputing 2012",2012-11-10,2012-11-16,USA,Utah,"Salt Lake City","Salt Palace Convention Center","NORTH AMERICA",,,,http://sc12.supercomputing.org/,,,,"Platform,Storage,Public Sector","Industry Event"
"JBoss Partner Sales Boot Camp Stockholm",2012-11-12,2012-11-13,Sweden,,Stockholm,"Kista science tower, Färögatan 33",EMEA,Nordics,,,https://engage.redhat.com/forms/SE_JBoss_BootCamp2012,,,,Middleware,"Red Hat Partner Event"
"Devoxx 2012",2012-11-12,2012-11-16,"UK, France and Belgium",,Multiple,Multiple,,,,,http://www.devoxx.com/display/DV12/Home,,,,Middleware,"Developer Event"
"Symantec Vision – EMEA",2012-11-13,2012-11-15,Spain,,Barcelona,"CCIB Barcelona",EMEA,,,,http://www.symantec.com/es/es/vision/welcome/?locid=barcelona,,,,"Platform,Sell RHEL","Red Hat Partner Event"
"NetApp Insight EMEA 2012",2012-11-13,2012-11-16,Ireland,,Dublin,"The Convention Centre Dublin",EMEA,,,,http://netapp2b.blueboxonline.com/,,,,,"Red Hat Partner Event"
"SAP TechEd Madrid 2012",2012-11-13,2012-11-16,Spain,,Madrid,"Feria de Madrid Av del Partenón 28042 Madrid",EMEA,,,,http://www.sapphirenowsapteched.com/sapphirenow/keyofferings.aspx#.UMX7iUF-x4E,,,Emerald,Platform,"Red Hat Partner Event"
"HP Sales Kickoff",2012-11-14,2012-11-18,USA,Nevada,"Las Vegas",Wynn/Encore,,,,,,,,,"Field Marketing","Red Hat Partner Event"
"Partner Forum",2012-11-21,2012-11-21,Sweden,,Stockholm,,EMEA,Nordics,,,https://engage.redhat.com/forms/SE_PartnerForum211112,,,,"Platform,Virtualization","Red Hat Hosted"
"Tech Forum Tour Baltic",2012-11-21,2012-11-23,,,,,EMEA,Nordics,,,,,,,,
"Breakfast seminar with Casalogic",2012-11-22,2012-11-22,Denmark,,Copenhagen,"Hilton Airport Hotel",EMEA,Nordics,,,,,,,Cloud,"Red Hat Partner Event"
"AWS re: Invent 2012",2012-11-27,2012-11-29,USA,Nevada,"Las Vegas","The Venetian",,,,,https://reinvent.awsevents.com/,,,,"Cloud,Middleware","Red Hat Partner Event"
"Gartner AADI U.S.",2012-11-27,2012-11-29,USA,Nevada,"Las Vegas","Caesars Palace",,,,,http://www.gartner.com/technology/summits/na/applications/,,,,Middleware,"Analyst Event"
"Tech Forum Gothenburg",2012-11-29,2012-11-29,Sweden,,Gothenburg,"Läppstiftet Konferens",EMEA,Nordics,,,https://engage.redhat.com/forms/SE_TechForum291112?sc_cid=919555121206WqZAAU,,,,"Storage,Virtualization","Red Hat Hosted"
"Red Hat Storage update with Sayan Saha",2012-11-30,2012-11-30,Sweden,,Kista,"Red Hat office ",EMEA,Nordics,,,,,,,Storage,"Customer Event"
"Gartner xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www.gartner.com/technology/summits/na/data-center/,,,,"Cloud,Platform,Storage,Virtualization","Analyst Event"
"I/IT SEC",2012-12-03,2012-12-06,USA,Florida,Orlando,"Orange County Convention Center","NORTH AMERICA",,,,http://www.iitsec.org/Pages/default.aspx,,,"General Exhibitor","Public Sector","Industry Event"
"Cloud Conference with Elva",2012-12-04,2012-12-04,Sweden,,Stockholm,"Waterfront building",EMEA,Nordics,,,,,,,Cloud,"C-level Event"
"CIO Cloud Summit",2012-12-04,2012-12-05,USA,Arizona,Scottsdale,"Fairmont Scottsdale Princess","NORTH AMERICA",,,,http://www.ciocloudsummit.com/,,,,Cloud,"C-level Event"
"HP Discover EMEA 2012",2012-12-04,2012-12-06,Germany,,Frankfurt,"Messe Frankfurt",EMEA,,,,http://h30614.www3.hp.com/Discover/home,,,,,"Red Hat Partner Event"
"RHEV 3.1 breakfast launch",2012-12-06,2012-12-06,Sweden,,Kista,"Red Hat office ",EMEA,Nordics,,,,,,,"Virtualization,Seeing is Believing","Red Hat Hosted"
"Dell World",2012-12-11,2012-12-13,USA,Texas,Austin,,,,,,,,,,Platform,"Red Hat Partner Event"
"Red Hat Tech Day",2012-12-12,2012-12-12,USA,California,"San Mateo","San Mateo Marriott",,,,,,,,,"Cloud,Openshift,Virtualization,Storage","Red Hat Hosted"
"Architect Forum Stockholm",2012-12-12,2012-12-12,Sweden,,Stockholm,,EMEA,Nordics,,,,,,,"Platform,Cloud",
"AWS CIO Breakfast Series",2012-12-13,2012-12-13,USA,Texas,Dallas,"The Palm Dallas",,,,,,,,,Cloud,"C-level Event"
"Open Source Conference 2012",2012-12-14,2012-12-14,Netherlands,,Amsterdam,"Beurs van Berlage ",EMEA,Benelux,,,http://www.opensourceconference.nl,,,,"Channel,Cloud,Field Marketing,Middleware,Openshift,Opensource.com,Storage,Virtualization,Build Open Clouds,CloudForms Launch and Early Adopter Engagement,RHEL to Cloud,IBM Websphere and Oracle WebLogic Takeout,Intelligent Integrated Enterprises,The \"JBoss Way\",Sell RHEL,Migrate:  Solaris to RHEL, AIX to RHEL, HP-UX to RHEL (with HP), Lower TCO (Partners partners),Grow Share (Microsoft) NextGen Datacenter, Break Glass,Seeing is Believing","Open Source Community"
"Cooking event",2013-01-11,2013-01-11,Spain,Madrid,Madrid,,EMEA,"Iberia ",,,https://engage.redhat.com/forms/Madrid_RecetaExito141212,,,,,"Red Hat Hosted"
"HP xxx@redhat.com Day: 91955512126 Cell: 919555121267",,,,,,
"NA Partner Conference",2013-01-14,2013-01-16,USA,California,"San Diego","Hotel Del Coronado","NORTH AMERICA",,,,http://www.redhat.com/partnerconference,https://docspace.corp.redhat.com/docs/DOC-113387,,,,"Red Hat Hosted"
"Government ICT 2013",2013-01-15,2013-01-15,"United Kingdom",,"London, UK",,EMEA,UK&I,,,http://government-ict.co.uk/,,,,"Public Sector,Cloud,Field Marketing,Middleware,Platform,Storage,Virtualization,Openshift","Industry Event"
"États Généraux de l'Open Source",2013-01-21,2013-01-21,France,,paris,"Ministere des Finances, Paris",,,,,,,,,,
"OOP 2013",2013-01-21,2013-01-25,Germany,,Munich,"ICM - International Congress Center Munich",,,,,http://www.OOP2013.com/,,,,,
"End user seminar SK (Slovakia)",2013-01-22,2013-01-22,"Slovak Republic",,Bratislava,"hotel Arcadia",EMEA,"Eastern Europe",,,,,,,"Field Marketing,Strategic Alternative (NextGen IT),The \"JBoss Way\"","Red Hat Hosted"
"Partner Day SK (Slovakia)",2013-01-22,2013-01-22,"Slovak Republic",,Bratislava,"hotel Arcadia",EMEA,"Eastern Europe",,,,,,,"Channel,Field Marketing","Red Hat Hosted"
"JBoss Integration Forum",2013-01-22,2013-01-22,Spain,Madrid,Madrid,"Hotel Eurostars Madrid Tower ",EMEA,"Iberia ",,,https://engage.redhat.com/forms/JBoss-IIE_ES?sc_cid=919555121206cf1AAA&offer_id=919555121206cffAAA&elq=d416f012aa44458f872929c9abd6e2a4,,,,Middleware,"Red Hat Hosted"
"AAPP Open Forum 2013",2013-01-24,2013-01-24,Spain,Madrid,Madrid,"Casino de Madrid",EMEA,"Iberia ",,,http://www.redhataapp.es/,,,,,"Red Hat Hosted"
"IBM xxx@redhat.com Day: 9195551212 Cell: 9195551212",http://www-01.ibm.com/software/collaboration/events/connect/,,,"Bronze Sponsorship",Platform,"Red Hat Partner Event"
"Cisco Live! - EMEA 2013",2013-01-28,2013-02-01,"United Kingdom",,London,"ICC London ExCeL",EMEA,,,,http://www.ciscolive.com/london/,,,,,"Red Hat Partner Event"
"Symantec Technology Day SE",2013-01-29,2013-01-29,Sweden,,Stockholm,"Water front Building",EMEA,Nordics,,,,,,"Platinum sponsorship. ","Platform,Virtualization","Red Hat Partner Event"
"Intelligent xxx@redhat.com Day: +9195551212  Cell: +49 (0)151 643 0 7788
Karin xxx@redhat.com Day: 49 91955512127 Cell: 49 91955512127",www.de.redhat.com/promo/JBossForum,,,,"Middleware,Intelligent Integrated Enterprises","Red Hat Hosted"
"Partner Day RU",2013-01-29,2013-01-29,"Russian Federation",,Moscow,"Courtyard Marriott hotel Paveletskaya",EMEA,"Eastern Europe",,,,,,,"Channel,Field Marketing","Red Hat Hosted"
"AFCEA West",2013-01-29,2013-01-31,USA,California,"San Diego","San Diego Convention Center","NORTH AMERICA",West,,,http://www.afcea.org/events/west/13/introduction.asp,,,"General Exhibitor","Public Sector","Industry Event"
"Intelligent xxx@redhat.com Day: +9195551212  Cell: +49 (0)151 643 0 7788
Karin xxx@redhat.com Day: 49 91955512127 Cell: 49 91955512127",www.de.redhat.com/promo/JBossForum,,,,"Intelligent Integrated Enterprises,Middleware","Red Hat Hosted"
"Press meeting RU (Russia)",2013-01-30,2013-01-30,"Russian Federation",,Moscow,"Courtyard Marriott hotel Paveletskaya",EMEA,"Eastern Europe",,,,,,,"Field Marketing","Red Hat Hosted"
"Intelligent Intergatred Enterprise (IIE) Tour 2013 - CH",2013-01-30,2013-01-31,Switzerland,,Zurich,tba,,,,,tba,,,,,
Cloud4SMBMiami,2013-01-30,2013-02-01,USA,Florida,Miami,"Miami Beach Convention Center",,,,,,,,,Cloud,"Industry Event"
"EMEA Executive Cooking",2013-01-31,2013-01-31,tba,,tba,tba,,,,,,,,,,
"Intelligent xxx@redhat.com Day: +9195551212  Cell: +49 (0)151 643 0 7788
Karin xxx@redhat.com Day: 49 91955512127 Cell: 49 91955512127",www.de.redhat.com/promo/JBossForum,,,,"Intelligent Integrated Enterprises,Middleware","Red Hat Hosted"
"FOSDEM 2013",2013-02-02,2013-02-03,Belgium,,Brussels,"ULB Campus Solbosch",,,,,https://fosdem.org/2013/,,,,,"Industry Event"
"IBM SHARE (System z) 2013",2013-02-03,2013-02-08,USA,California,"San Francisco","Hilton San Francisco Union Square","NORTH AMERICA",West,,,http://www.share.org/p/cm/ld/fid=217,,,"General Exhibitor (tabletop)","Global Partner Marketing","Red Hat Partner Event"
JFokus,2013-02-04,2013-02-06,Sweden,,Stockholm,"Stockgholm Water front building ",EMEA,Nordics,,,http://www.jfokus.se/jfokus/#page=page-1,,,"Silver sponsorship. ",Middleware,"C-level Event"
"Symantec Technology Day NO",2013-02-05,2013-02-05,Norway,,Oslo,"UBC – Ullevaal Business Class ",EMEA,Nordics,,,,,,"Platinum sponsorship. ",Storage,"Red Hat Partner Event"
"Red Hat Lab: The future today: From Virtualization to PaaS",2013-02-05,2013-02-05,Spain,Madrid,Madrid,"Red Hat Madrid Office",EMEA,"Iberia ",,,http://www.redhatlab.es/index.html,,,,,"Red Hat Hosted"
